account,payee,category,created_date,amount,currency,state
savings,John Doe,Groceries,2024-06-05T13:30:46.07498Z,2600,US,COMPLETED
checking,Amazon,Shopping,2024-06-10T13:30:46.075569Z,4747,US,COMPLETED
savings,Netflix,Entertainment,2024-06-14T13:38:46.084209Z,-4785,US,COMPLETED
topUp,Spotify,Entertainment,2024-06-15T14:34:56.894573Z,3500,US,COMPLETED
savings,Starbucks,Food & Drink,2024-06-16T14:42:56.903122Z,1600,US,COMPLETED
savings,Walmart,Shopping,2024-06-11T10:14:18.000566Z,-2200,US,COMPLETED
checking,Target,Shopping,2024-06-27T14:08:47.786612Z,2470,US,COMPLETED
savings,Apple,Electronics,2024-06-22T13:23:17.508793Z,4745,US,COMPLETED
checking,McDonald's,Food & Drink,2024-06-06T12:41:16.162793Z,3700,US,COMPLETED
savings,KFC,Food & Drink,2024-06-07T12:57:16.261311Z,4100,US,COMPLETED
topUp,Best Buy,Electronics,2024-06-12T13:48:32.763552Z,7757,US,COMPLETED
savings,Burger King,Food & Drink,2024-06-08T13:56:32.682111Z,-7758,US,COMPLETED
topUp,Subway,Food & Drink,2024-06-09T15:38:40.267923Z,1600,US,COMPLETED
savings,Costco,Shopping,2024-06-03T17:56:35.071209Z,2100,US,COMPLETED
checking,Home Depot,Home Improvement,2024-06-04T17:56:35.108677Z,-3500,US,COMPLETED
savings,7-Eleven,Groceries,2024-06-01T18:04:35.057902Z,4458,US,COMPLETED
